train_loss,train_acc,val_loss,val_acc,time
0.679388987712371,58.3816421265475,0.6310661302672492,60.535714285714285,34.725117444992065
0.6446379805222536,61.555271477509706,0.6168709595998129,61.42857142857143,19.847466707229614
0.6435604981887035,61.25260682884676,0.6080090635352664,65.17857142857143,17.153356313705444
0.6257534225781759,63.39711124740114,0.6072536110877991,61.25,17.48738670349121
0.624341593338893,62.56243635414828,0.5946317712465922,64.10714285714286,18.320765733718872
0.6232259105413388,64.57467212878925,0.5990672773785062,62.5,17.515709400177002
0.6140197484921186,65.30195197245064,0.5865100423494974,65.53571428571429,17.479718923568726
0.5996185502944849,67.11738822454598,0.5858372218079038,66.07142857142857,17.702362537384033
0.5997700538390722,68.16315854830947,0.5841919349299537,66.25,17.201823949813843
0.5887487989205581,68.01345853681958,0.5792302721076541,67.32142857142857,17.59582805633545
0.5879382674510663,68.0424437207359,0.5980759991539849,61.607142857142854,17.923002004623413
0.5876127886466491,67.40578020050785,0.5710401866171095,69.64285714285714,17.487754821777344
0.5870066735989008,69.46812416056392,0.5693456828594208,67.5,17.655754566192627
0.5794473137610998,69.44082486135022,0.5750201178921593,68.92857142857143,18.186826705932617
0.5689733563325344,69.5896981770955,0.5629673136605157,68.75,17.505939245224
0.5674580946946756,69.24323547571929,0.5582752790715959,69.28571428571429,17.91226887702942
0.5509912623808935,72.24129768243472,0.5605012012852563,69.82142857142857,18.066115140914917
0.5560934367852334,71.82118505482794,0.5616047812832726,69.64285714285714,17.54790735244751
0.5785192121297885,70.9395597854478,0.5593604511684842,69.82142857142857,18.27949571609497
0.5687435972384918,69.3811981949099,0.5580202043056488,68.92857142857143,18.10816264152527
