train_loss,train_acc,val_loss,val_acc,time
0.6704505987656422,57.93767268436127,0.6602243582407633,56.42857142857143,31.534246921539307
0.6447995152228918,63.24483536080986,0.643300731976827,59.107142857142854,18.967592000961304
0.6395177397972498,62.34390386626398,0.6313182016213735,62.67857142857143,17.899115800857544
0.6233638677841578,63.66963456587377,0.6366978486378988,60.535714285714285,18.35142230987549
0.6154105357634716,65.30814164483311,0.6279086338149177,58.392857142857146,18.710872411727905
0.616032083829244,64.38497361264034,0.64418935113483,60.357142857142854,17.81844401359558
0.6283456637309148,63.40852947164444,0.6220973266495599,61.25,19.381601333618164
0.6087444516328665,66.80433950311854,0.6182460983594259,60.535714285714285,18.453887939453125
0.5964519824737158,66.86864733916875,0.6243993838628134,61.07142857142857,18.922096490859985
0.5914343045308039,67.36733627879609,0.6236389544275072,61.607142857142854,18.327638626098633
